time_s,vin,vout
1.919599999999995648e-04,1.000000000000000000e+00,7.052019083222238471e-01
1.929599999999995620e-04,1.000000000000000000e+00,7.081352226672762429e-01
1.939599999999995592e-04,1.000000000000000000e+00,7.110393498049151217e-01
1.949599999999995564e-04,1.000000000000000000e+00,7.139145801551149972e-01
1.959599999999995536e-04,1.000000000000000000e+00,7.167612012480989447e-01
1.969599999999995508e-04,1.000000000000000000e+00,7.195794977530931558e-01
1.979599999999995480e-04,1.000000000000000000e+00,7.223697515067937225e-01
1.989599999999995452e-04,1.000000000000000000e+00,7.251322415415519806e-01
1.999599999999995424e-04,1.000000000000000000e+00,7.278672441132778559e-01
2.009599999999995396e-04,1.000000000000000000e+00,7.305750327290662094e-01
2.019599999999995368e-04,1.000000000000000000e+00,7.332558781745482923e-01
2.029599999999995340e-04,1.000000000000000000e+00,7.359100485409707515e-01
2.039599999999995312e-04,1.000000000000000000e+00,7.385378092520059612e-01
2.049599999999995284e-04,1.000000000000000000e+00,7.411394230902944580e-01
2.059599999999995256e-04,1.000000000000000000e+00,7.437151502237244749e-01
2.069599999999995228e-04,1.000000000000000000e+00,7.462652482314485747e-01
2.079599999999995200e-04,1.000000000000000000e+00,7.487899721296430444e-01
2.089599999999995172e-04,1.000000000000000000e+00,7.512895743970099405e-01
2.099599999999995144e-04,1.000000000000000000e+00,7.537643050000251144e-01
2.109599999999995116e-04,1.000000000000000000e+00,7.562144114179356613e-01
2.119599999999995088e-04,1.000000000000000000e+00,7.586401386675085678e-01
2.129599999999995060e-04,1.000000000000000000e+00,7.610417293275335560e-01
2.139599999999995032e-04,1.000000000000000000e+00,7.634194235630805681e-01
2.149599999999995004e-04,1.000000000000000000e+00,7.657734591495177767e-01
2.159599999999994976e-04,1.000000000000000000e+00,7.681040714962887872e-01
2.169599999999994948e-04,1.000000000000000000e+00,7.704114936704552496e-01
2.179599999999994920e-04,1.000000000000000000e+00,7.726959564200031050e-01
2.189599999999994892e-04,1.000000000000000000e+00,7.749576881969183484e-01
2.199599999999994864e-04,1.000000000000000000e+00,7.771969151800335318e-01
2.209599999999994836e-04,1.000000000000000000e+00,7.794138612976450053e-01
2.219599999999994808e-04,1.000000000000000000e+00,7.816087482499074479e-01
2.229599999999994780e-04,1.000000000000000000e+00,7.837817955310030227e-01
2.239599999999994753e-04,1.000000000000000000e+00,7.859332204510928177e-01
2.249599999999994725e-04,1.000000000000000000e+00,7.880632381580473522e-01
2.259599999999994697e-04,1.000000000000000000e+00,7.901720616589622548e-01
2.269599999999994669e-04,1.000000000000000000e+00,7.922599018414602234e-01
2.279599999999994641e-04,1.000000000000000000e+00,7.943269674947791570e-01
2.289599999999994613e-04,1.000000000000000000e+00,7.963734653306522304e-01
2.299599999999994585e-04,1.000000000000000000e+00,7.983996000039790264e-01
2.309599999999994557e-04,1.000000000000000000e+00,8.004055741332927187e-01
2.319599999999994529e-04,1.000000000000000000e+00,8.023915883210211986e-01
2.329599999999994501e-04,1.000000000000000000e+00,8.043578411735483602e-01
2.339599999999994473e-04,1.000000000000000000e+00,8.063045293210754361e-01
2.349599999999994445e-04,1.000000000000000000e+00,8.082318474372837125e-01
2.359599999999994417e-04,1.000000000000000000e+00,8.101399882588036228e-01
2.369599999999994389e-04,1.000000000000000000e+00,8.120291426044873306e-01
2.379599999999994361e-04,1.000000000000000000e+00,8.138994993944925760e-01
2.389599999999994333e-04,1.000000000000000000e+00,8.157512456691742297e-01
2.399599999999994305e-04,1.000000000000000000e+00,8.175845666077893314e-01
2.409599999999994277e-04,1.000000000000000000e+00,8.193996455470153872e-01
2.419599999999994249e-04,1.000000000000000000e+00,8.211966639992840378e-01
2.429599999999994221e-04,1.000000000000000000e+00,8.229758016709328716e-01
2.439599999999994193e-04,1.000000000000000000e+00,8.247372364801774935e-01
2.449599999999994165e-04,1.000000000000000000e+00,8.264811445749020713e-01
2.459599999999994408e-04,1.000000000000000000e+00,8.282077003502762436e-01
2.469599999999994651e-04,1.000000000000000000e+00,8.299170764661939481e-01
2.479599999999994894e-04,1.000000000000000000e+00,8.316094438645403875e-01
2.489599999999995137e-04,1.000000000000000000e+00,8.332849717862863548e-01
2.499599999999995380e-04,1.000000000000000000e+00,8.349438277884129178e-01
2.509599999999995623e-04,1.000000000000000000e+00,8.365861777606677929e-01
2.519599999999995866e-04,1.000000000000000000e+00,8.382121859421538534e-01
2.529599999999996109e-04,1.000000000000000000e+00,8.398220149377545463e-01
2.539599999999996353e-04,1.000000000000000000e+00,8.414158257343939962e-01
2.549599999999996596e-04,1.000000000000000000e+00,8.429937777171363500e-01
2.559599999999996839e-04,1.000000000000000000e+00,8.445560286851251375e-01
2.569599999999997082e-04,1.000000000000000000e+00,8.461027348673626491e-01
2.579599999999997325e-04,1.000000000000000000e+00,8.476340509383341049e-01
2.589599999999997568e-04,1.000000000000000000e+00,8.491501300334752811e-01
2.599599999999997811e-04,1.000000000000000000e+00,8.506511237644857060e-01
2.609599999999998054e-04,1.000000000000000000e+00,8.521371822344909752e-01
2.619599999999998297e-04,1.000000000000000000e+00,8.536084540530533005e-01
2.629599999999998540e-04,1.000000000000000000e+00,8.550650863510330657e-01
2.639599999999998783e-04,1.000000000000000000e+00,8.565072247953017248e-01
2.649599999999999026e-04,1.000000000000000000e+00,8.579350136033088159e-01
2.659599999999999269e-04,1.000000000000000000e+00,8.593485955575049795e-01
2.669599999999999512e-04,1.000000000000000000e+00,8.607481120196195379e-01
2.679599999999999755e-04,1.000000000000000000e+00,8.621337029447975198e-01
2.689599999999999999e-04,1.000000000000000000e+00,8.635055068955955759e-01
2.699600000000000242e-04,1.000000000000000000e+00,8.648636610558386728e-01
2.709600000000000485e-04,1.000000000000000000e+00,8.662083012443378971e-01
2.719600000000000728e-04,1.000000000000000000e+00,8.675395619284737014e-01
2.729600000000000971e-04,1.000000000000000000e+00,8.688575762376430367e-01
2.739600000000001214e-04,1.000000000000000000e+00,8.701624759765720363e-01
2.749600000000001457e-04,1.000000000000000000e+00,8.714543916384968059e-01
2.759600000000001700e-04,1.000000000000000000e+00,8.727334524182133180e-01
2.769600000000001943e-04,1.000000000000000000e+00,8.739997862249974103e-01
2.779600000000002186e-04,1.000000000000000000e+00,8.752535196953956653e-01
2.789600000000002429e-04,1.000000000000000000e+00,8.764947782058893910e-01
2.799600000000002672e-04,1.000000000000000000e+00,8.777236858854329249e-01
2.809600000000002915e-04,1.000000000000000000e+00,8.789403656278664823e-01
2.819600000000003158e-04,1.000000000000000000e+00,8.801449391042061032e-01
2.829600000000003402e-04,1.000000000000000000e+00,8.813375267748111419e-01
2.839600000000003645e-04,1.000000000000000000e+00,8.825182479014300752e-01
2.849600000000003888e-04,1.000000000000000000e+00,8.836872205591272955e-01
2.859600000000004131e-04,1.000000000000000000e+00,8.848445616480913323e-01
2.869600000000004374e-04,1.000000000000000000e+00,8.859903869053245007e-01
2.879600000000004617e-04,1.000000000000000000e+00,8.871248109162168660e-01
2.889600000000004860e-04,1.000000000000000000e+00,8.882479471260057435e-01
2.899600000000005103e-04,1.000000000000000000e+00,8.893599078511200684e-01
2.909600000000005346e-04,1.000000000000000000e+00,8.904608042904126330e-01
2.919600000000005589e-04,1.000000000000000000e+00,8.915507465362793038e-01
2.929600000000005832e-04,1.000000000000000000e+00,8.926298435856695468e-01
2.939600000000006075e-04,1.000000000000000000e+00,8.936982033509861534e-01
2.949600000000006318e-04,1.000000000000000000e+00,8.947559326708770522e-01
2.959600000000006561e-04,1.000000000000000000e+00,8.958031373209183190e-01
2.969600000000006805e-04,1.000000000000000000e+00,8.968399220241928260e-01
