freq_hz,gain_db,phase_deg
1.458594011725034579e+04,-1.929368825296020518e+01,-8.377278910536821854e+01
1.514704336774395961e+04,-1.961783981173386593e+01,-8.400175459971826797e+01
1.572973157300796629e+04,-1.994225882901002933e+01,-8.422242031870574408e+01
1.633483507981371258e+04,-2.026692625134904446e+01,-8.443507449376834018e+01
1.696321617735577456e+04,-2.059182435623091223e+01,-8.463999669331406039e+01
1.761577032603786211e+04,-2.091693666276597696e+01,-8.483745793544342462e+01
1.829342743352858815e+04,-2.124224784788014375e+01,-8.502772081752968347e+01
1.899715317990557014e+04,-2.156774366771293217e+01,-8.521103965999034813e+01
1.972795039377618014e+04,-2.189341088396795243e+01,-8.538766066186661874e+01
2.048686048133598888e+04,-2.221923719495855565e+01,-8.555782206608488138e+01
2.127496491040132605e+04,-2.254521117109672090e+01,-8.572175433251011611e+01
2.209338675153076474e+04,-2.287132219457931015e+01,-8.587968031711410788e+01
2.294329227843165427e+04,-2.319756040303378342e+01,-8.603181545577579925e+01
2.382589262993233569e+04,-2.352391663689337520e+01,-8.617836795140593154e+01
2.474244553588839699e+04,-2.385038239028101259e+01,-8.631953896324651510e+01
2.569425710948241613e+04,-2.417694976519016592e+01,-8.645552279733823298e+01
2.668268370847129700e+04,-2.450361142876067433e+01,-8.658650709727734807e+01
2.770913386803349204e+04,-2.483036057345688974e+01,-8.671267303449859298e+01
2.877507030797050538e+04,-2.515719087996524195e+01,-8.683419549742363586e+01
2.988201201712296461e+04,-2.548409648263775296e+01,-8.695124327890751204e+01
3.103153641797164528e+04,-2.581107193731735094e+01,-8.706397926149706734e+01
3.222528161450802509e+04,-2.613811219138971964e+01,-8.717256060008955387e+01
3.346494872657766973e+04,-2.646521255591568433e+01,-8.727713890164463351e+01
3.475230431402297836e+04,-2.679236867970595171e+01,-8.737786040166072610e+01
3.608918289407966950e+04,-2.711957652520890605e+01,-8.747486613717889270e+01
3.747748955561449111e+04,-2.744683234608937283e+01,-8.756829211612178199e+01
3.891920267392941605e+04,-2.777413266638422584e+01,-8.765826948281659270e+01
4.041637673000104405e+04,-2.810147426112749969e+01,-8.774492467958496889e+01
4.197114523817267764e+04,-2.842885413834458319e+01,-8.782837960431491808e+01
4.358572378647113510e+04,-2.875626952232149947e+01,-8.790875176395640267e+01
4.526241319388082775e+04,-2.908371783806131106e+01,-8.798615442390585883e+01
4.700360278907431348e+04,-2.941119669684537286e+01,-8.806069675326619972e+01
4.881177381527156831e+04,-2.973870388282270127e+01,-8.813248396598572754e+01
5.068950296608005738e+04,-3.006623734055569841e+01,-8.820161745789607721e+01
5.263946605735421326e+04,-3.039379516345531940e+01,-8.826819493968116603e+01
5.466444184030687757e+04,-3.072137558304321203e+01,-8.833231056582162921e+01
5.676731596130645630e+04,-3.104897695898278798e+01,-8.839405505956820264e+01
5.895108507400261442e+04,-3.137659776982476956e+01,-8.845351583400560003e+01
6.121886110964042018e+04,-3.170423660441686309e+01,-8.851077710927542341e+01
6.357387571164825204e+04,-3.203189215393046396e+01,-8.856592002603198921e+01
6.601948484081882634e+04,-3.235956320446053525e+01,-8.861902275520942851e+01
6.855917355764599051e+04,-3.268724863015793858e+01,-8.867016060418212930e+01
7.119656098863203079e+04,-3.301494738685634900e+01,-8.871940611940314625e+01
7.393540548364282586e+04,-3.334265850615835802e+01,-8.876682918560742053e+01
7.677960997166014567e+04,-3.367038108994798051e+01,-8.881249712166797394e+01
7.973322752256311651e+04,-3.399811430529921097e+01,-8.885647477319409404e+01
8.280046712286464754e+04,-3.432585737975201567e+01,-8.889882460196113811e+01
8.598569967363335309e+04,-3.465360959692959852e+01,-8.893960677226120026e+01
8.929346421914819803e+04,-3.498137029247244101e+01,-8.897887923426394252e+01
9.272847441516183608e+04,-3.530913885026618004e+01,-8.901669780447602420e+01
9.629562524599012977e+04,-3.563691469894245500e+01,-8.905311624338673937e+01
9.999999999999986903e+04,-3.596469730863285008e+01,-8.908818633038616497e+01
1.038468775134349708e+05,-3.629248618795785575e+01,-8.912195793604115579e+01
1.078417396929038077e+05,-3.662028088123381053e+01,-8.915447909181267505e+01
1.119902793272473500e+05,-3.694808096588215562e+01,-8.918579605729672721e+01
1.162984081999203918e+05,-3.727588605002643618e+01,-8.921595338506922701e+01
1.207722655134461093e+05,-3.760369577026335719e+01,-8.924499398321324861e+01
1.254182266379490175e+05,-3.793150978959548780e+01,-8.927295917560594773e+01
1.302429121962333593e+05,-3.825932779551382623e+01,-8.929988876003946530e+01
1.352531974983532855e+05,-3.858714949821943918e+01,-8.932582106424931112e+01
1.404562223391194129e+05,-3.891497462897400794e+01,-8.935079299992098356e+01
1.458594011725034215e+05,-3.924280293857019331e+01,-8.937484011474425927e+01
1.514704336774395488e+05,-3.957063419591281672e+01,-8.939799664258197254e+01
1.572973157300796011e+05,-3.989846818670314121e+01,-8.942029555181879630e+01
1.633483507981370494e+05,-4.022630471221855686e+01,-8.944176859195341933e+01
1.696321617735576874e+05,-4.055414358818092069e+01,-8.946244633849505590e+01
1.761577032603785337e+05,-4.088198464370702823e+01,-8.948235823622448493e+01
1.829342743352857942e+05,-4.120982772033524810e+01,-8.950153264087668958e+01
1.899715317990556068e+05,-4.153767267112289829e+01,-8.951999685930140060e+01
1.972795039377617068e+05,-4.186551935980914863e+01,-8.953777718815526043e+01
2.048686048133597942e+05,-4.219336766003873862e+01,-8.955489895117814569e+01
2.127496491040131659e+05,-4.252121745464202718e+01,-8.957138653510415338e+01
2.209338675153075601e+05,-4.284906863496745189e+01,-8.958726342425612188e+01
2.294329227843164408e+05,-4.317692110026233365e+01,-8.960255223387109424e+01
2.382589262993232405e+05,-4.350477475709879371e+01,-8.961727474220225531e+01
2.474244553588838317e+05,-4.383262951884132974e+01,-8.963145192144160944e+01
2.569425710948240303e+05,-4.416048530515305970e+01,-8.964510396750598886e+01
2.668268370847128099e+05,-4.448834204153791205e+01,-8.965825032872753297e+01
2.770913386803347385e+05,-4.481619965891599122e+01,-8.967090973348834382e+01
2.877507030797048355e+05,-4.514405809322988006e+01,-8.968310021683782907e+01
2.988201201712294132e+05,-4.547191728507953457e+01,-8.969483914612958131e+01
3.103153641797162127e+05,-4.579977717938366055e+01,-8.970614324571354814e+01
3.222528161450799671e+05,-4.612763772506579585e+01,-8.971702862071803963e+01
3.346494872657764354e+05,-4.645549887476314410e+01,-8.972751077995474134e+01
3.475230431402294780e+05,-4.678336058455656854e+01,-8.973760465797879249e+01
3.608918289407963748e+05,-4.711122281372026777e+01,-8.974732463633480961e+01
3.747748955561445910e+05,-4.743908552448953486e+01,-8.975668456401876938e+01
3.891920267392938258e+05,-4.776694868184559084e+01,-8.976569777718457033e+01
4.041637673000100767e+05,-4.809481225331584398e+01,-8.977437711812252985e+01
4.197114523817263544e+05,-4.842267620878879342e+01,-8.978273495353721501e+01
4.358572378647109144e+05,-4.875054052034242602e+01,-8.979078319214977455e+01
4.526241319388078409e+05,-4.907840516208489134e+01,-8.979853330164991121e+01
4.700360278907426982e+05,-4.940627011000705693e+01,-8.980599632502138263e+01
4.881177381527152611e+05,-4.973413534184547302e+01,-8.981318289626393891e+01
5.068950296608001227e+05,-5.006200083695554781e+01,-8.982010325553396513e+01
5.263946605735416524e+05,-5.038986657619378917e+01,-8.982676726372550036e+01
5.466444184030683246e+05,-5.071773254180868662e+01,-8.983318441651178432e+01
5.676731596130641410e+05,-5.104559871733947318e+01,-8.983936385786763879e+01
5.895108507400257513e+05,-5.137346508752230534e+01,-8.984531439309161271e+01
6.121886110964037944e+05,-5.170133163820321442e+01,-8.985104450134632259e+01
6.357387571164820110e+05,-5.202919835625742451e+01,-8.985656234773495044e+01
6.601948484081878560e+05,-5.235706522951448960e+01,-8.986187579493083888e+01
6.855917355764594395e+05,-5.268493224668891628e+01,-8.986699241437668206e+01
7.119656098863197258e+05,-5.301279939731584534e+01,-8.987191949706948435e+01
7.393540548364276765e+05,-5.334066667169133069e+01,-8.987666406394610874e+01
7.677960997166008456e+05,-5.366853406081705913e+01,-8.988123287588457799e+01
7.973322752256306121e+05,-5.399640155634899230e+01,-8.988563244333521141e+01
8.280046712286459515e+05,-5.432426915054985272e+01,-8.988986903559518282e+01
8.598569967363330070e+05,-5.465213683624494934e+01,-8.989394868973978703e+01
8.929346421914814273e+05,-5.498000460678129286e+01,-8.989787721922301955e+01
9.272847441516177496e+05,-5.530787245598969548e+01,-8.990166022215983332e+01
9.629562524599005701e+05,-5.563574037814951367e+01,-8.990530308930162562e+01
9.999999999999979045e+05,-5.596360836795608407e+01,-8.990881101171665080e+01
