time_s,vin,vgate,vout
7.727999999999988351e-05,4.667077376911387028e-03,2.004659420494784960e+00,3.279142425962756846e+00
7.827999999999988071e-05,4.722554107208375325e-03,2.004714701930864873e+00,3.278958966395096652e+00
7.927999999999987791e-05,4.777844399155520110e-03,2.004769794629133628e+00,3.278776124395706759e+00
8.027999999999987511e-05,4.832946069986764938e-03,2.004824696414734930e+00,3.278593907273368302e+00
8.127999999999987232e-05,4.887856944382497001e-03,2.004879405120348679e+00,3.278412322312914462e+00
8.227999999999986952e-05,4.942574854555415939e-03,2.004933918586277564e+00,3.278231376774907169e+00
8.327999999999986672e-05,4.997097640336120757e-03,2.004988234660531887e+00,3.278051077895367982e+00
8.427999999999986392e-05,5.051423149258387098e-03,2.005042351198914830e+00,3.277871432885453018e+00
8.527999999999986112e-05,5.105549236644142674e-03,2.005096266065107269e+00,3.277692448931154523e+00
8.627999999999985833e-05,5.159473765688134782e-03,2.005149977130750827e+00,3.277514133193024648e+00
8.727999999999985553e-05,5.213194607542293371e-03,2.005203482275533577e+00,3.277336492805845936e+00
8.827999999999985273e-05,5.266709641399763657e-03,2.005256779387272648e+00,3.277159534878364866e+00
8.927999999999984993e-05,5.320016754578642953e-03,2.005309866361997706e+00,3.276983266492975666e+00
9.027999999999984713e-05,5.373113842605380108e-03,2.005362741104035340e+00,3.276807694705428986e+00
9.127999999999984434e-05,5.425998809297854879e-03,2.005415401526089436e+00,3.276632826544545019e+00
9.227999999999984154e-05,5.478669566848138120e-03,2.005467845549324668e+00,3.276458669011918623e+00
9.327999999999983874e-05,5.531124035904906762e-03,2.005520071103451318e+00,3.276285229081618233e+00
9.427999999999983594e-05,5.583360145655536996e-03,2.005572076126800773e+00,3.276112513699908746e+00
9.527999999999983314e-05,5.635375833907863528e-03,2.005623858566413009e+00,3.275940529784953092e+00
9.627999999999983034e-05,5.687169047171574537e-03,2.005675416378114750e+00,3.275769284226517364e+00
9.727999999999982755e-05,5.738737740739296121e-03,2.005726747526600295e+00,3.275598783885699916e+00
9.827999999999982475e-05,5.790079878767308112e-03,2.005777849985513228e+00,3.275429035594631166e+00
9.927999999999982195e-05,5.841193434355909479e-03,2.005828721737524134e+00,3.275260046156192040e+00
1.002799999999998192e-04,5.892076389629447193e-03,2.005879360774411868e+00,3.275091822343732417e+00
1.012799999999998164e-04,5.942726735815975596e-03,2.005929765097142603e+00,3.274924370900775372e+00
1.022799999999998136e-04,5.993142473326549743e-03,2.005979932715948877e+00,3.274757698540758710e+00
1.032799999999998108e-04,6.043321611834181345e-03,2.006029861650406865e+00,3.274591811946723219e+00
1.042799999999998080e-04,6.093262170352401787e-03,2.006079549929517203e+00,3.274426717771055984e+00
1.052799999999998052e-04,6.142962177313472140e-03,2.006128995591778708e+00,3.274262422635207948e+00
1.062799999999998024e-04,6.192419670646218469e-03,2.006178196685271420e+00,3.274098933129399924e+00
1.072799999999997996e-04,6.241632697853488967e-03,2.006227151267728992e+00,3.273936255812358809e+00
1.082799999999997968e-04,6.290599316089233797e-03,2.006275857406616403e+00,3.273774397211057341e+00
1.092799999999997940e-04,6.339317592235212823e-03,2.006324313179207675e+00,3.273613363820399691e+00
1.102799999999997912e-04,6.387785602977300026e-03,2.006372516672660478e+00,3.273453162102990532e+00
1.112799999999997884e-04,6.436001434881421027e-03,2.006420465984091628e+00,3.273293798488835726e+00
1.122799999999997856e-04,6.483963184469095087e-03,2.006468159220654357e+00,3.273135279375081197e+00
1.132799999999997828e-04,6.531668958292566850e-03,2.006515594499608479e+00,3.272977611125749142e+00
1.142799999999997800e-04,6.579116873009576393e-03,2.006562769948398550e+00,3.272820800071458258e+00
1.152799999999997772e-04,6.626305055457689525e-03,2.006609683704727587e+00,3.272664852509171496e+00
1.162799999999997744e-04,6.673231642728267264e-03,2.006656333916630341e+00,3.272509774701910956e+00
1.172799999999997716e-04,6.719894782239991225e-03,2.006702718742543912e+00,3.272355572878505647e+00
1.182799999999997688e-04,6.766292631812015172e-03,2.006748836351383680e+00,3.272202253233343683e+00
1.192799999999997660e-04,6.812423359736684628e-03,2.006794684922614813e+00,3.272049821926071189e+00
1.202799999999997632e-04,6.858285144851848820e-03,2.006840262646322426e+00,3.271898285081379143e+00
1.212799999999997604e-04,6.903876176612758903e-03,2.006885567723284414e+00,3.271747648788703167e+00
1.222799999999997576e-04,6.949194655163546362e-03,2.006930598365042062e+00,3.271597919102003260e+00
1.232799999999997548e-04,6.994238791408273828e-03,2.006975352793970213e+00,3.271449102039480472e+00
1.242799999999997520e-04,7.039006807081573010e-03,2.007019829243350095e+00,3.271301203583328210e+00
1.252799999999997492e-04,7.083496934818838547e-03,2.007064025957437270e+00,3.271154229679480885e+00
1.262799999999997464e-04,7.127707418226006397e-03,2.007107941191527800e+00,3.271008186237374105e+00
1.272799999999997436e-04,7.171636511948893331e-03,2.007151573212032858e+00,3.270863079129675555e+00
1.282799999999997408e-04,7.215282481742095813e-03,2.007194920296543117e+00,3.270718914192051407e+00
1.292799999999997380e-04,7.258643604537461276e-03,2.007237980733899363e+00,3.270575697222897205e+00
1.302799999999997352e-04,7.301718168512110092e-03,2.007280752824257331e+00,3.270433433983127358e+00
1.312799999999997324e-04,7.344504473156009128e-03,2.007323234879156093e+00,3.270292130195899816e+00
1.322799999999997296e-04,7.387000829339115948e-03,2.007365425221586452e+00,3.270151791546377140e+00
1.332799999999997268e-04,7.429205559378049446e-03,2.007407322186054888e+00,3.270012423681508906e+00
1.342799999999997240e-04,7.471116997102336330e-03,2.007448924118647504e+00,3.269874032209762582e+00
1.352799999999997212e-04,7.512733487920180558e-03,2.007490229377100199e+00,3.269736622700907702e+00
1.362799999999997184e-04,7.554053388883779155e-03,2.007531236330861724e+00,3.269600200685757407e+00
1.372799999999997156e-04,7.595075068754197391e-03,2.007571943361154077e+00,3.269464771655955282e+00
1.382799999999997128e-04,7.635796908065753050e-03,2.007612348861043561e+00,3.269330341063726664e+00
1.392799999999997100e-04,7.676217299189957467e-03,2.007652451235498514e+00,3.269196914321647718e+00
1.402799999999997072e-04,7.716334646398976919e-03,2.007692248901453702e+00,3.269064496802431385e+00
1.412799999999997044e-04,7.756147365928639514e-03,2.007731740287874711e+00,3.268933093838676029e+00
1.422799999999997016e-04,7.795653886040945085e-03,2.007770923835817900e+00,3.268802710722648719e+00
1.432799999999996988e-04,7.834852647086127525e-03,2.007809797998491685e+00,3.268673352706067625e+00
1.442799999999996960e-04,7.873742101564220122e-03,2.007848361241318713e+00,3.268545024999864879e+00
1.452799999999996932e-04,7.912320714186149920e-03,2.007886612041996255e+00,3.268417732773971629e+00
1.462799999999996904e-04,7.950586961934345484e-03,2.007924548890557048e+00,3.268291481157097778e+00
1.472799999999996876e-04,7.988539334122871094e-03,2.007962170289429249e+00,3.268166275236499274e+00
1.482799999999996848e-04,8.026176332457054391e-03,2.007999474753491498e+00,3.268042120057790711e+00
1.492799999999996820e-04,8.063496471092647389e-03,2.008036460810135981e+00,3.267919020624693971e+00
1.502799999999996792e-04,8.100498276694479208e-03,2.008073126999324387e+00,3.267796981898862363e+00
1.512799999999996764e-04,8.137180288494619620e-03,2.008109471873647411e+00,3.267676008799634602e+00
1.522799999999996737e-04,8.173541058350058605e-03,2.008145493998379827e+00,3.267556106203840294e+00
1.532799999999996709e-04,8.209579150799855077e-03,2.008181191951538214e+00,3.267437278945597434e+00
1.542799999999996681e-04,8.245293143121831120e-03,2.008216564323936915e+00,3.267319531816094802e+00
1.552799999999996653e-04,8.280681625388718048e-03,2.008251609719243991e+00,3.267202869563385903e+00
1.562799999999996625e-04,8.315743200523834089e-03,2.008286326754035844e+00,3.267087296892189130e+00
1.572799999999996597e-04,8.350476484356226040e-03,2.008320714057850509e+00,3.266972818463703021e+00
1.582799999999996569e-04,8.384880105675319995e-03,2.008354770273245382e+00,3.266859438895373557e+00
1.592799999999996541e-04,8.418952706285058596e-03,2.008388494055848295e+00,3.266747162760722745e+00
1.602799999999996513e-04,8.452692941057507459e-03,2.008421884074409469e+00,3.266635994589145220e+00
1.612799999999996485e-04,8.486099477985972403e-03,2.008454939010856144e+00,3.266525938865716405e+00
1.622799999999996457e-04,8.519170998237577189e-03,2.008487657560345419e+00,3.266417000030978457e+00
1.632799999999996429e-04,8.551906196205327770e-03,2.008520038431313104e+00,3.266309182480790163e+00
1.642799999999996401e-04,8.584303779559661340e-03,2.008552080345525681e+00,3.266202490566104899e+00
1.652799999999996373e-04,8.616362469299459342e-03,2.008583782038132703e+00,3.266096928592794768e+00
1.662799999999996345e-04,8.648080999802545271e-03,2.008615142257712094e+00,3.265992500821479183e+00
1.672799999999996317e-04,8.679458118875646444e-03,2.008646159766325656e+00,3.265889211467310815e+00
1.682799999999996289e-04,8.710492587803826681e-03,2.008676833339563927e+00,3.265787064699821940e+00
1.692799999999996261e-04,8.741183181399393362e-03,2.008707161766594140e+00,3.265686064642741471e+00
1.702799999999996233e-04,8.771528688050259787e-03,2.008737143850210405e+00,3.265586215373805778e+00
1.712799999999996205e-04,8.801527909767785374e-03,2.008766778406880338e+00,3.265487520924593490e+00
1.722799999999996177e-04,8.831179662234064226e-03,2.008796064266790804e+00,3.265389985280343410e+00
1.732799999999996149e-04,8.860482774848677662e-03,2.008825000273894101e+00,3.265293612379795540e+00
1.742799999999996121e-04,8.889436090774917656e-03,2.008853585285954590e+00,3.265198406115013441e+00
1.752799999999996093e-04,8.918038466985448234e-03,2.008881818174592659e+00,3.265104370331219918e+00
1.762799999999996065e-04,8.946288774307427361e-03,2.008909697825330909e+00,3.265011508826624720e+00
1.772799999999996037e-04,8.974185897467098008e-03,2.008937223137636341e+00,3.264919825352269989e+00
1.782799999999996009e-04,9.001728735133803297e-03,2.008964393024966100e+00,3.264829323611864176e+00
1.792799999999995981e-04,9.028916199963474276e-03,2.008991206414806996e+00,3.264740007261616839e+00
1.802799999999995953e-04,9.055747218641553922e-03,2.009017662248720804e+00,3.264651879910102750e+00
1.812799999999995925e-04,9.082220731925360821e-03,2.009043759482384672e+00,3.264564945118077155e+00
1.822799999999995897e-04,9.108335694685925493e-03,2.009069497085632872e+00,3.264479206398339883e+00
1.832799999999995869e-04,9.134091075949231711e-03,2.009094874042497203e+00,3.264394667215586132e+00
1.842799999999995841e-04,9.159485858936930458e-03,2.009119889351247412e+00,3.264311330986244819e+00
1.852799999999995813e-04,9.184519041106471021e-03,2.009144542024429381e+00,3.264229201078342690e+00
1.862799999999995785e-04,9.209189634190680443e-03,2.009168831088906870e+00,3.264148280811347114e+00
1.872799999999995757e-04,9.233496664236793064e-03,2.009192755585896606e+00,3.264068573456039957e+00
1.882799999999995729e-04,9.257439171644879852e-03,2.009216314571008688e+00,3.263990082234355938e+00
1.892799999999995701e-04,9.281016211205745173e-03,2.009239507114283008e+00,3.263912810319263613e+00
1.902799999999995673e-04,9.304226852138237219e-03,2.009262332300226994e+00,3.263836760834607276e+00
1.912799999999995645e-04,9.327070178125994662e-03,2.009284789227849366e+00,3.263761936854992385e+00
1.922799999999995617e-04,9.349545287353620837e-03,2.009306877010696546e+00,3.263688341405643456e+00
1.932799999999995589e-04,9.371651292542288944e-03,2.009328594776889521e+00,3.263615977462266393e+00
1.942799999999995561e-04,9.393387320984766115e-03,2.009349941669155815e+00,3.263544847950937466e+00
1.952799999999995533e-04,9.414752514579865020e-03,2.009370916844865018e+00,3.263474955747962092e+00
1.962799999999995505e-04,9.435746029866324755e-03,2.009391519476061205e+00,3.263406303679754039e+00
1.972799999999995477e-04,9.456367038056114060e-03,2.009411748749496240e+00,3.263338894522717304e+00
1.982799999999995449e-04,9.476614725067132594e-03,2.009431603866660865e+00,3.263272731003113769e+00
1.992799999999995421e-04,9.496488291555369235e-03,2.009451084043817559e+00,3.263207815796968170e+00
2.002799999999995393e-04,9.515986952946448030e-03,2.009470188512030298e+00,3.263144151529931314e+00
2.012799999999995365e-04,9.535109939466603415e-03,2.009488916517195634e+00,3.263081740777175277e+00
2.022799999999995337e-04,9.553856496173072574e-03,2.009507267320072010e+00,3.263020586063273498e+00
2.032799999999995309e-04,9.572225882983894513e-03,2.009525240196309515e+00,3.262960689862111074e+00
2.042799999999995281e-04,9.590217374707133216e-03,2.009542834436477410e+00,3.262902054596761303e+00
2.052799999999995254e-04,9.607830261069500583e-03,2.009560049346093891e+00,3.262844682639377325e+00
2.062799999999995226e-04,9.625063846744401699e-03,2.009576884245651840e+00,3.262788576311105082e+00
2.072799999999995198e-04,9.641917451379381637e-03,2.009593338470646362e+00,3.262733737881966967e+00
2.082799999999995170e-04,9.658390409622989378e-03,2.009609411371600984e+00,3.262680169570780997e+00
2.092799999999995142e-04,9.674482071151038060e-03,2.009625102314093859e+00,3.262627873545044466e+00
2.102799999999995114e-04,9.690191800692282351e-03,2.009640410678781297e+00,3.262576851920854004e+00
2.112799999999995086e-04,9.705518978053504289e-03,2.009655335861422643e+00,3.262527106762817652e+00
2.122799999999995058e-04,9.720462998143981556e-03,2.009669877272905580e+00,3.262478640083946502e+00
2.132799999999995030e-04,9.735023270999390230e-03,2.009684034339268344e+00,3.262431453845582752e+00
2.142799999999995002e-04,9.749199221805089979e-03,2.009697806501722805e+00,3.262385549957310893e+00
2.152799999999994974e-04,9.762990290918815983e-03,2.009711193216675351e+00,3.262340930276878659e+00
2.162799999999994946e-04,9.776395933892774101e-03,2.009724193955749527e+00,3.262297596610107320e+00
2.172799999999994918e-04,9.789415621495132364e-03,2.009736808205806469e+00,3.262255550710818852e+00
2.182799999999994890e-04,9.802048839730917451e-03,2.009749035468965772e+00,3.262214794280760444e+00
2.192799999999994862e-04,9.814295089862307489e-03,2.009760875262622815e+00,3.262175328969535215e+00
2.202799999999994834e-04,9.826153888428314220e-03,2.009772327119472290e+00,3.262137156374520508e+00
2.212799999999994806e-04,9.837624767263877107e-03,2.009783390587521534e+00,3.262100278040801271e+00
